Стать,Вік,Зріст,Вибір,Причина
ч,18,184,Потреби і вподобання,Інтерес до технологій
ч,18,178,Потреби і вподобання,Недовіра до людей
ж,18,162,Потреби і вподобання,Відчуття самотності
ч,18,174,Потреби і вподобання,Потрібен помічник
ж,29,169,Потреби і вподобання,Потрібен тілоохоронець
ж,20,171,Вартість,Щоб бути модним
ч,52,166,Вартість,Інтерес до технологій
ж,18,166,Потреби і вподобання,Потрібен тілоохоронець
ч,24,172,Потреби і вподобання,Інтерес до технологій
ж,24,163,Потреби і вподобання,Щоб бути модним
ж,18,157,Вартість,Побоювання людей
ж,18,164,Потреби і вподобання,Відчуття самотності
ж,22,178,Потреби і вподобання,Потреба у підтримці
ч,40,175,Потреби і вподобання,Потрібен помічник
ж,19,152,Потреби і вподобання,Щоб бути модним
ч,19,170,Вартість,Інтерес до технологій
ж,44,164,Вартість,Потрібен помічник
ч,48,177,Вартість,Потрібен помічник
ж,59,150,Вартість,Потрібен помічник
ч,38,180,Потреби і вподобання,Потрібен помічник
ж,40,169,Вартість,Інтерес до технологій
ж,18,175,Потреби і вподобання,Потрібен тілоохоронець
ж,19,164,Потреби і вподобання,Потрібен тілоохоронець
ж,19,180,Потреби і вподобання,Інтерес до технологій
ж,18,160,"Те, що в моді",Щоб бути модним
ч,30,177,Потреби і вподобання,Потрібен помічник
ж,18,169,"Те, що в моді",Щоб бути модним
ж,18,164,Вартість,Потреба у підтримці
ч,25,178,Потреби і вподобання,Потрібен помічник
ж,19,156,"Те, що в моді",Щоб бути модним
ч,19,183,Вартість,Інтерес до технологій
ж,45,172,Вартість,Потрібен помічник
ч,50,186,Потреби і вподобання,Потрібен помічник
ч,18,172,Потреби і вподобання,Щоб бути модним
ч,67,165,Вартість,Потрібен помічник
ж,70,161,Вартість,Відчуття самотності
ч,69,177,Вартість,Потрібен помічник
ж,18,155,Потреби і вподобання,Потрібен тілоохоронець
ж,18,177,Інше,Відчуття самотності
ч,18,180,Потреби і вподобання,Потрібен помічник
ж,18,156,"Те, що в моді",Щоб бути модним
ч,19,169,Потреби і вподобання,Недовіра до людей
ч,19,186,Інше,Недовіра до людей
ж,18,164,Потреби і вподобання,Потрібен тілоохоронець
ж,18,157,Потреби і вподобання,Потреба у підтримці
ч,48,177,Потреби і вподобання,Потрібен помічник
ж,20,169,Потреби і вподобання,Побоювання людей
ж,48,171,Вартість,Інтерес до технологій
ч,20,169,"Те, що в моді",Інтерес до технологій
ж,19,180,Потреби і вподобання,Потрібен тілоохоронець
ж,21,155,Вартість,Недовіра до людей
ч,19,186,Вартість,Інтерес до технологій
ж,18,164,"Те, що в моді",Щоб бути модним
ж,19,171,Потреби і вподобання,Недовіра до людей
ж,20,166,Потреби і вподобання,Інтерес до технологій
ж,21,164,Потреби і вподобання,Потрібен тілоохоронець
ж,19,170,Потреби і вподобання,Потрібен помічник
ж,22,161,Потреби і вподобання,Недовіра до людей
ж,35,169,Інше,Інше
ж,18,188,Потреби і вподобання,Потреба у підтримці
ж,25,167,Потреби і вподобання,Потрібен помічник
ч,26,196,Потреби і вподобання,Потрібен помічник
ж,19,168,Потреби і вподобання,Потрібен помічник
ж,18,173,Потреби і вподобання,Недовіра до людей
ж,19,167,Потреби і вподобання,Потрібен помічник
ж,20,170,Потреби і вподобання,Потрібен помічник
ж,18,164,Потреби і вподобання,Потрібен тілоохоронець
ж,18,165,Потреби і вподобання,Інтерес до технологій
ж,18,175,Потреби і вподобання,Інше
ж,19,161,Потреби і вподобання,Інтерес до технологій
ж,18,172,Потреби і вподобання,Недовіра до людей
ж,18,175,Потреби і вподобання,Потрібен тілоохоронець
ч,29,187,Потреби і вподобання,Потрібен помічник
ж,45,167,Потреби і вподобання,Інтерес до технологій
ж,24,162,Потреби і вподобання,Відчуття самотності
ж,19,182,Потреби і вподобання,Потреба у підтримці
ч,32,180,Потреби і вподобання,Потрібен помічник
ч,20,173,Потреби і вподобання,Інтерес до технологій
ж,19,174,Потреби і вподобання,Щоб бути модним
ж,18,164,Вартість,Відчуття самотності
ч,23,182,Потреби і вподобання,Інше
ж,19,152,Потреби і вподобання,Побоювання людей
ж,22,160,Потреби і вподобання,Інтерес до технологій
ж,20,154,Інше,Інше
ж,18,165,Потреби і вподобання,Щоб бути модним
ч,19,171,Потреби і вподобання,Потрібен помічник
ж,22,166,Вартість,Відчуття самотності
ж,18,166,Потреби і вподобання,Потрібен тілоохоронець
ж,19,163,Потреби і вподобання,Потреба у підтримці
ж,18,157,Вартість,Потреба у підтримці
ч,18,183,Вартість,Інше
ж,20,175,Потреби і вподобання,Потрібен тілоохоронець
ж,19,165,Потреби і вподобання,Щоб бути модним
ч,22,178,Потреби і вподобання,Потрібен помічник
ч,20,188,Потреби і вподобання,Потрібен помічник
ч,28,176,Потреби і вподобання,Потрібен помічник
ч,22,190,Потреби і вподобання,Інтерес до технологій
ж,18,159,Потреби і вподобання,Відчуття самотності
ж,20,162,Потреби і вподобання,Відчуття самотності
ж,18,177,Потреби і вподобання,Потрібен тілоохоронець
ж,20,163,Потреби і вподобання,Потрібен тілоохоронець
ж,19,162,Потреби і вподобання,Відчуття самотності
ж,18,166,Потреби і вподобання,Відчуття самотності
